id,province,party,title,firstName,lastName,sex,age,occupation,highestEducation,vote,votePercent,rank
810101,81,32,นาย,เตชิต,  ดำดี,M,59,ธุรกิจส่วนตัว,ปริญญาตรี,561,0.54948,7
810102,81,7,นาย,กิตติ,  กิตติธรกุล,M,42,เลขานุการนายกองค์การบริหารส่วนจังหวัดกระบี่,ปริญญาโท,39520,38.70829,1
810103,81,26,นาย,ธนวัช,  ภูเก้าล้วน,M,43,นักธุรกิจ,ปริญญาโท,30877,30.24281,2
810104,81,22,นาย,สรรเพ็ชญ,  ศรีสวัสดิ์,M,29,ธุรกิจส่วนตัว,ปริญญาตรี,6308,6.17844,4
810105,81,25,ร้อยตำรวจตรี,ฮัจญีวิทย์,  แดงกุล,M,55,รับราชการ,ปริญญาตรี,705,0.69052,6
810106,81,29,นาย,ยุทธนา,  อ่าวลึกน้อย,M,53,เกษตรกร,ปริญญาโท,2388,2.33895,5
810107,81,31,นาย,วศิน,  สิริเกียรติกุล,M,38,นักการทูต,ปริญญาโท,15211,14.89858,3
810108,81,21,นางสาว,ทับทิม,  พึ่งหล้า,F,47,ธุรกิจส่วนตัว,ต่ำกว่าปริญญาตรี,333,0.32616,9
810109,81,37,นาย,ศิวกรณ์,  เอ่งฉ้วน,M,61,รับราชการ,ปริญญาเอก,417,0.40844,8
810110,81,61,นางสาว,สวลี,  หนูโส๊ะ,F,45,เกษตรกร,ปริญญาตรี,71,0.06954,10
810201,81,49,นาย,สมใจ,  นวลนุ่น,M,56,ทำสวน,ต่ำกว่าปริญญาตรี,563,0.60351,7
810202,81,31,นาย,สมพร,  แต่งแก้ว,M,52,ทนายความ,ปริญญาตรี,10038,10.76034,4
810203,81,37,นาย,สรวิศทชากร,  เลขานุกิจ,M,54,เจ้าของกิจการ,ปริญญาโท,13903,14.90347,2
810204,81,7,นาย,ถิรเดช,  ตั้งมั่นก่อกิจ,M,48,สมาชิกสภาองค์การบริหารส่วนจังหวัดกระบี่,ปริญญาตรี,44378,47.57147,1
810205,81,26,นาย,สาคร,  เกี่ยวข้อง,M,60,เกษตรกร,ปริญญาโท,12439,13.33412,3
