จังหวัด,เขตเลือกตั้ง,เพื่อไทย,เพื่อไทยเบอร์,ก้าวไกล,ก้าวไกลเบอร์,ไทยสร้างไทย,ไทยสร้างไทยเบอร์,เขต/ตำบล
กระบี่,3,,6,,2,,,"เกาะกลาง
เกาะลันตาน้อย
เกาะลันตาใหญ่
คลองยาง
ศาลาด่าน
คลองท่อมใต้
คลองท่อมเหนือ
คลองพน
ทรายขาว
พรุดินนา
เพหลา
ห้วยน้ำขาว
ดินแดง
ดินอุดม
ทุ่งไทรทอง
ลำทับ
โคกยาง
ปกาสัย
ห้วยยูง"
กระบี่,2,,7,,2,,,"เขาดิน
เขาพนม
โคกหาร
พรุเตียว
สินปุน
หน้าเขา
เขาเขน
เขาต่อ
คีรีวง
ปลายพระยา
เขาใหญ่
คลองยา
คลองหิน
นาเหนือ
บ้านกลาง
แหลมสัก
อ่าวลึกใต้
อ่าวลึกน้อย
อ่าวลึกเหนือ"
กระบี่,1,,6,,7,,1,"กระบี่น้อย
กระบี่ใหญ่
เขาคราม
เขาทอง
คลองประสงค์
ทับปริก
ปากน้ำ
ไสไทย
หนองทะเล
อ่าวนาง
เกาะศรีบอยา
คลองขนาน
คลองเขม้า
ตลิ่งชัน
เหนือคลอง"
กรุงเทพมหานคร,4,,11,,2,,4,"คลองตัน
คลองเตย
พระโขนง
คลองตันเหนือ
คลองเตยเหนือ
พระโขนงเหนือ"
กรุงเทพมหานคร,24,,8,,9,,12,"คลองต้นไทร
คลองสาน
บางลำภูล่าง
สมเด็จเจ้าพระยา
ดาวคะนอง
ตลาดพลู
บุคคโล
สำเหร่
บางปะกอก"
กรุงเทพมหานคร,16,,11,,8,,5,"ทรายกองดิน
บางชัน
สามวาตะวันตก"
กรุงเทพมหานคร,17,,13,,7,,12,"ทรายกองดินใต้
สามวาตะวันออก
กระทุ่มราย
คลองสิบ
คลองสิบสอง
คู้ฝั่งเหนือ
หนองจอก"
กรุงเทพมหานคร,15,,7,,6,,3,"คันนายาว
รามอินทรา
คลองกุ่ม"
กรุงเทพมหานคร,8,,2,,5,,3,"จตุจักร
จอมพล
ลาดยาว
ทุ่งสองห้อง"
กรุงเทพมหานคร,9,,2,,10,,4,"จันทรเกษม
เสนานิคม
อนุสาวรีย์
ตลาดบางเขน"
กรุงเทพมหานคร,26,,2,,11,,1,"จอมทอง
บางค้อ
บางมด
ท่าข้าม"
กรุงเทพมหานคร,28,,10,,4,,6,"บางขุนเทียน
คลองบางพราน
บางบอนเหนือ
หนองแขม"
กรุงเทพมหานคร,10,,10,,6,,2,"ดอนเมือง
สนามบิน
สีกัน"
กรุงเทพมหานคร,6,,1,,3,,8,"ดินแดง
รัชดาภิเษก
พญาไท
สามเสนใน"
กรุงเทพมหานคร,1,,8,,5,,7,"ดุสิต
วชิรพยาบาล
สวนจิตรลดา
สี่แยกมหานาค
บางรัก
มหาพฤฒาราม
สี่พระยา
สีลม
สุริยวงศ์
คลองมหานาค
บ้านบาตร
ป้อมปราบ
วัดเทพศิรินทร์
วัดโสมนัส
ชนะสงคราม
ตลาดยอด
บวรนิเวศ
บางขุนพรหม
บ้านพานถม
พระบรมมหาราชวัง
วังบูรพาภิรมย์
วัดราชบพิธ
วัดสามพระยา
ศาลเจ้าพ่อเสือ
สำราญราษฎร์
เสาชิงช้า
จักรวรรดิ
ตลาดน้อย
สัมพันธวงศ์"
กรุงเทพมหานคร,7,,8,,7,,2,"ถนนนครไชยศรี
บางซื่อ
วงศ์สว่าง"
